Name,Gross Sales Total,Percent of Total Sales,Quantity Sold,Average Price
Mango Hurricane - R,232.12,0.09178839477076631,28,8.290000000000001
Strawberry Sunshine - R,165.8,0.06556313912197594,21,7.895238095238096
Mango Hurricane - S,117.8,0.04658225445457639,20,5.89
Strawberry Sunshine - S,106.02,0.04192402900911874,18,5.89
Tropical Tornado - R,82.9,0.03278156956098797,10,8.290000000000001
Very Berry - R,58.03,0.022947098692691577,7,8.290000000000001
Very Berry - S,35.34,0.013974676336372917,6,5.890000000000001
Tropical Tornado - S,29.45,0.011645563613644097,5,5.89
Hawaiian Sunset - R,24.87,0.00983447086829639,3,8.290000000000001
Hawaiian Sunset - S,17.67,0.006987338168186459,3,5.890000000000001
Pirates Nectar - R,16.58,0.006556313912197592,2,8.29
Pirates Nectar - S,5.89,0.002329112722728819,2,2.945
High Impact Acai - R,111.48,0.03673592053336287,13,7.1461538461538465
Mind Over Matcha - R,102.19,0.03673592053336287,13,7.1461538461538465
Acai Avalanche - R,74.32,0.029388736426690293,9,8.257777777777777
Pomegranate Punch - R,65.03,0.02571514437335401,7,9.290000000000001
Nuttin' Better - R,149.43,0.059089866580198214,17,8.790000000000001
Banana's A Whey - R,87.9,0.03475874504717542,10,8.790000000000001
Ripped Berry - R,61.53,0.02085524702830525,7,7.534285714285715
Strawberry Storm - R,52.74,0.02085524702830525,6,8.790000000000001
Funky Monkey - R,58.03,0.022947098692691577,7,8.290000000000001
Mangosicle - R,41.45,0.016390784780493984,5,8.290000000000001
Pineapple Freeze - R,41.45,0.016390784780493984,5,8.290000000000001
Mangosicle - S ,26.45,0.010459258321931625,5,5.29
Canadian Colada - R,24.87,0.00983447086829639,3,8.290000000000001
Funky Monkey - S,23.56,0.009316450890915276,4,5.89
Canadian Colada - S,17.67,0.006987338168186459,3,5.890000000000001
Pineapple Freeze - S,17.67,0.006987338168186459,3,5.890000000000001
Oatrageous Mocha - R,16.58,0.006556313912197592,2,8.29
Berry Cream Sensation - S,11.78,0.004658225445457638,2,5.89
Berry Cream Sensation - R,8.29,0.003278156956098796,1,8.29
Oatrageous Mocha - S,5.29,0.002091851664386325,1,5.29
Pomegranate Passion - R,35.96,0.01421984609666016,4,8.99
Pomegranate Passion - S,29.95,0.011843281162262841,5,5.99
Brazilian Thunder - R,26.97,0.010664884572495118,3,8.99
Matcha Monsoon - R,26.97,0.010664884572495118,4,6.7425
Ocean Mist - R,17.98,0.00710992304833008,3,5.993333333333333
Brazilian Thunder - S,5.99,0.0023686562324525683,1,5.99
Matcha Monsoon - S,5.99,0.0023686562324525683,1,5.99
Ocean Mist - S,5.99,0.0023686562324525683,1,5.99
Tropi-Kale - R,81.81,0.02875604027111031,9,8.08
Spinach is in it - R,27.27,0.010783515101666367,3,9.09
Spinach is in it - S,12.18,0.004816399484352634,2,6.09
Tropi-Kale - S,12.18,0.004816399484352634,2,6.09
Lemon Berry - R,26.97,0.010664884572495118,3,8.99
Gingerbread - R,17.98,0.00710992304833008,2,8.99
Lemon Berry - S,11.98,0.0047373124649051366,2,5.99
Gingerbread - S,5.99,0.0023686562324525683,1,5.99
Raspberry Rapture - S,5.99,0.0023686562324525683,1,5.99
$ Whey Protein,22.75,0.00899614846215291,13,1.75
$ Chia Seeds,3.0,0.0011863052917124716,3,1.0
$ Pea Protein,2.0,0.0007908701944749811,2,1.0
$ Strawberry,1.5,0.0005931526458562358,2,0.75
$ Add Matcha,1.0,0.00039543509723749055,1,1.0
$ Collagen,1.0,0.00039543509723749055,1,1.0
$ Warrior Booster,1.0,0.00039543509723749055,2,0.5
$ Banana,0.75,0.0002965763229281179,1,0.75
$ Combo Booster,0.5,0.00019771754861874527,1,0.5
$ Energy Booster,0.5,0.00019771754861874527,1,0.5
$ Wilderness Booster,0.5,0.00019771754861874527,1,0.5
Add Banana,0.0,0.0,1,0.0
Add Pomegranate,0.0,0.0,1,0.0
Add Strawberry,0.0,0.0,1,0.0
Combo Booster,0.0,0.0,3,0.0
Energy Booster,0.0,0.0,13,0.0
Power Booster,0.0,0.0,2,0.0
Warrior Booster,0.0,0.0,14,0.0
Wilderness Booster,0.0,0.0,2,0.0
Booster Ball (2),30.0,0.011863052917124715,6,5.0
Booster Ball (4),8.5,0.0033611983265186694,1,8.5
Booster Ball (1),8.25,0.003262339552209297,3,2.75
Booster Ball (3),6.75,0.0026691869063530612,1,6.75
Lemon Ginger Tumeric and Coconut,4.29,0.0016964165671488345,1,4.29
Lemon & Ginger Shot - S,3.29,0.0013009814699113439,1,3.29
Lemon Ginger Tumeric & Coconut S,3.29,0.0013009814699113439,1,3.29
Birthday Cake - Booster Ball,0.0,0.0,2,0.0
Candy Cane - Booster Ball,0.0,0.0,3,0.0
Chocolate Chip - Booster Ball,0.0,0.0,6,0.0
Monster - Booster Ball,0.0,0.0,6,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,5,0.0
Artisan Grilled Cheese,13.18,0.005211834581590125,2,6.59
Chicken Quesadilla,8.79,0.0034758745047175415,3,2.9299999999999997
Chipotle Chicken Wrap,8.79,0.0034758745047175415,3,2.9299999999999997
Chipotle Chicken Panini,0.0,0.0,3,0.0
Pesto Chicken Panini,0.0,0.0,1,0.0
Egg White & Cheese Wrap,17.07,0.006750077109843963,3,5.69
Mango Teazer - TB,19.96,0.00789288454086031,4,4.99
Matcha On My Mind Blend,5.99,0.0023686562324525683,1,5.99
Drink - Bottled Water - 500 ml,19.92,0.007877067136970813,8,2.49
"""Protein & Co"" Bar",3.69,0.0014591555088063401,1,3.69
Condiments (Retail/Merchandise),0.0,0.0,1,0.0
Chocolate Peanut - Protein & Co,0.0,0.0,1,0.0
$ Spinach,1.5,0.0005931526458562358,2,0.75
Allergy: ,0.0,0.0,332,0.0
No Blueberry,0.0,0.0,1,0.0
