Name,Gross Sales Total,Percent of Total Sales,Quantity Sold,Average Price
Mango Hurricane - R,116.06,0.09411592980635118,14,8.290000000000001
Strawberry Sunshine - R,66.32,0.05378053131791495,8,8.29
Strawberry Sunshine - S,53.01,0.03893249862142788,9,5.334444444444444
Very Berry - R,49.74,0.04033539848843622,6,8.290000000000001
Very Berry - S,41.23,0.03343442862240099,7,5.89
Tropical Tornado - S,29.45,0.02388173473028642,5,5.89
Tropical Tornado - R,24.87,0.02016769924421811,3,8.290000000000001
Hawaiian Sunset - S,17.67,0.014329040838171854,3,5.890000000000001
Mango Hurricane - S,17.67,0.014329040838171854,3,5.890000000000001
Hawaiian Sunset - R,16.58,0.013445132829478738,2,8.29
Pirates Nectar - R,8.29,0.006722566414739369,1,8.29
Pirates Nectar - S,5.89,0.004776346946057284,1,5.89
Strawberry Storm - R,96.69,0.07840831684452951,11,8.79
Nuttin' Better - R,79.11,0.06415225923643324,9,8.79
Ripped Berry - R,61.53,0.04989620162833696,7,8.790000000000001
Banana's A Whey - R,35.16,0.028512115216192548,4,8.79
Funky Monkey - R,41.45,0.03361283207369685,5,8.290000000000001
Canadian Colada - R,24.87,0.02016769924421811,3,8.290000000000001
Mangosicle - R,24.87,0.02016769924421811,3,8.290000000000001
Funky Monkey - S,23.56,0.019105387784229134,4,5.89
Berry Cream Sensation - R,16.58,0.013445132829478738,2,8.29
Pineapple Freeze - S,11.78,0.009552693892114567,2,5.89
Mangosicle - S ,10.58,0.004289792078886763,2,2.645
Pineapple Freeze - R,8.29,0.006722566414739369,1,8.29
Berry Cream Sensation - S,5.89,0.004776346946057284,1,5.89
Mind Over Matcha - R,46.45,0.03766745596678453,5,9.290000000000001
Pomegranate Punch - R,37.16,0.030133964773427616,4,9.29
Acai Avalanche - R,27.87,0.022600473580070717,3,9.290000000000001
High Impact Acai - R,18.58,0.015066982386713808,2,9.29
Pomegranate Passion - R,53.94,0.043741282558629864,6,8.99
Brazilian Thunder - R,26.97,0.021870641279314932,3,8.99
Ocean Mist - S,17.97,0.014572318271757112,3,5.989999999999999
Matcha Monsoon - R,8.99,0.007290213759771644,1,8.99
Ocean Mist - R,8.99,0.007290213759771644,1,8.99
Pomegranate Passion - S,5.99,0.004857439423919038,1,5.99
Tropi-Kale - R,18.18,0.014742612475266795,2,9.09
Tropi-Kale - S,12.18,0.009877063803561582,2,6.09
Spinach is in it - S,6.09,0.004938531901780791,1,6.09
$ Whey Protein,12.25,0.00993382853806481,7,1.75
$ Collagen,2.0,0.001621849557235071,2,1.0
$ Energy Booster,1.5,0.0012163871679263033,3,0.5
$ Chia Seeds,1.0,0.0008109247786175355,1,1.0
$ Banana,0.75,0.0006081935839631516,1,0.75
$ Density Booster,0.5,0.0004054623893087678,1,0.5
Add Blueberry,0.0,0.0,1,0.0
Add Pinapple,0.0,0.0,1,0.0
Combo Booster,0.0,0.0,5,0.0
Energy Booster,0.0,0.0,12,0.0
Power Booster,0.0,0.0,2,0.0
Warrior Booster,0.0,0.0,5,0.0
Wilderness Booster,0.0,0.0,1,0.0
Lemon Berry - R,8.99,0.007290213759771644,1,8.99
Booster Ball (1),16.5,0.013380258847189337,6,2.75
Booster Ball (2),10.0,0.008109247786175356,2,5.0
Birthday Cake - Booster Ball,0.0,0.0,1,0.0
Chocolate Chip - Booster Ball,0.0,0.0,3,0.0
Monster - Booster Ball,0.0,0.0,3,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,3,0.0
Drink - Bottled Water - 500 ml,7.47,0.00605760809627299,3,2.4899999999999998
Matcha On My Mind Blend,5.99,0.004857439423919038,1,5.99
Add Kale,0.0,0.0,1,0.0
Allergy: ,0.0,0.0,164,0.0
Split In 2 Cups,0.0,0.0,1,0.0
