Name,Gross Sales Total,Percent of Total Sales,Quantity Sold,Average Price
Mango Hurricane - R,190.67,0.06272348964587068,24,7.944583333333333
Strawberry Sunshine - R,182.38,0.05999638140039805,23,7.929565217391304
Hawaiian Sunset - R,149.22,0.04636084017303486,18,7.829444444444444
Tropical Tornado - R,107.77,0.032725298945671666,13,7.6523076923076925
Mango Hurricane - S,76.57,0.02518874286560192,14,5.469285714285713
Very Berry - R,66.32,0.021816865963781105,8,8.29
Very Berry - S,47.12,0.015500764840370412,8,5.89
Tropical Tornado - S,41.23,0.01356316923532411,7,5.89
Strawberry Sunshine - S,35.34,0.011625573630277811,6,5.890000000000001
Pirates Nectar - R,16.58,0.005454216490945276,2,8.29
Hawaiian Sunset - S,11.78,0.003875191210092603,2,5.89
Banana's A Whey - R,228.54,0.07518134118459792,26,8.79
Nuttin' Better - R,149.43,0.0491570307745448,17,8.790000000000001
Ripped Berry - R,131.85,0.04337385068342188,16,8.240625
Strawberry Storm - R,96.69,0.031807490501176046,11,8.79
Banango Burst - R,26.37,0.008674770136684376,3,8.790000000000001
Mind Over Matcha - R,195.09,0.06417750875865585,21,9.290000000000001
High Impact Acai - R,157.93,0.051953221376054744,18,8.773888888888889
Acai Avalanche - R,65.03,0.021392502919551953,7,9.290000000000001
Pomegranate Punch - R,37.16,0.012224287382601114,4,9.29
Funky Monkey - R,74.61,0.01908975771830847,9,6.447777777777778
Berry Cream Sensation - R,49.74,0.016362649472835833,6,8.290000000000001
Pea (Not) Butter 2.0 - R,33.16,0.010908432981890552,4,8.29
Canadian Colada - R,24.87,0.008181324736417916,3,8.290000000000001
Berry Cream Sensation - S,11.78,0.003875191210092603,2,5.89
Oatrageous Mocha - S,10.58,0.003480434889879435,2,5.29
Oatrageous Mocha - R,8.29,0.002727108245472638,1,8.29
Pineapple Freeze - R,8.29,0.002727108245472638,1,8.29
Funky Monkey - S,5.89,0.0019375956050463015,1,5.89
Mangosicle - S ,5.29,0.0017402174449397175,2,2.645
Brazilian Thunder - R,62.93,0.020701679359178906,7,8.99
Ocean Mist - R,44.95,0.014786913827984935,5,8.99
Pomegranate Passion - R,44.95,0.014786913827984935,8,5.61875
Matcha Monsoon - R,35.96,0.011829531062387948,4,8.99
Pomegranate Passion - S,17.97,0.005911475895192197,3,5.989999999999999
Brazilian Thunder - S,5.99,0.001970491965064066,1,5.99
Matcha Monsoon - S,5.99,0.001970491965064066,1,5.99
Ocean Mist - S,5.99,0.001970491965064066,1,5.99
Tea Blend Combo ,12.69,0.004174548086254256,1,12.69
Tropi-Kale - R,81.81,0.026912512130532758,9,9.09
Tropi-Kale - S,30.45,0.010016941625409148,6,5.075
Spinach is in it - R,27.27,0.008970837376844253,3,9.09
Spinach is in it - S,6.09,0.0020033883250818296,2,3.045
$ Whey Protein,45.5,0.014967843808082635,26,1.75
$ Hemp Hearts,3.0,0.000986890800532921,3,1.0
$ Mango,3.0,0.000986890800532921,4,0.75
$ Chia Seeds,2.0,0.0006579272003552808,2,1.0
$ Collagen,2.0,0.0006579272003552808,2,1.0
$ Power Booster,1.5,0.0004934454002664605,3,0.5
$ Energy Booster,1.0,0.0003289636001776404,2,0.5
$ Pea Protein,1.0,0.0003289636001776404,1,1.0
$ Banana,0.75,0.00024672270013323025,1,0.75
$ Blueberry,0.75,0.00024672270013323025,1,0.75
$ Lemon,0.75,0.00024672270013323025,1,0.75
$ Combo Booster,0.5,0.0001644818000888202,1,0.5
$ Density Booster,0.5,0.0001644818000888202,1,0.5
$ Warrior Booster,0.5,0.0001644818000888202,1,0.5
Add Blueberry,0.0,0.0,1,0.0
Add Froyo,0.0,0.0,1,0.0
Add Mango,0.0,0.0,1,0.0
Add Pomegranate,0.0,0.0,2,0.0
Add Strawberry,0.0,0.0,1,0.0
Add Vanilla Almond Milk,0.0,0.0,1,0.0
Combo Booster,0.0,0.0,12,0.0
Density Booster,0.0,0.0,5,0.0
Energy Booster,0.0,0.0,27,0.0
No Cranberry Juice,0.0,0.0,1,0.0
No Ice,0.0,0.0,1,0.0
No Pineapple Juice,0.0,0.0,1,0.0
No Skim Milk,0.0,0.0,1,0.0
Power Booster,0.0,0.0,11,0.0
