Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,273.57,-16.58,256.99,0.11849464447917964,33.0,0.03985507246376811,0.12485849629539658,0.2663384806715722,7.787575757575758
Strawberry Sunshine - R,149.22,0.0,149.22,0.06880334195565269,18.0,0.021739130434782608,0.07249848171990769,0.1546481500673645,8.29
Strawberry Sunshine - S,94.24,0.0,94.24,0.043452800870531494,16.0,0.01932367149758454,0.04578646908781732,0.09766815214011815,5.89
Tropical Tornado - R,91.19,0.0,91.19,0.04204648675067665,11.0,0.013285024154589372,0.04430462771772136,0.09450720281894497,8.29
Hawaiian Sunset - R,82.9,0.0,82.9,0.0382240788642515,10.0,0.012077294685990338,0.04027693428883761,0.08591563892631361,8.290000000000001
Very Berry - R,82.9,0.0,82.9,0.0382240788642515,10.0,0.012077294685990338,0.04027693428883761,0.08591563892631361,8.290000000000001
Mango Hurricane - S,82.46,0.0,82.46,0.03802120076171506,14.0,0.016908212560386472,0.04006316045184015,0.08545963312260338,5.89
Tropical Tornado - S,41.23,0.0,41.23,0.01901060038085753,7.0,0.008454106280193236,0.020031580225920075,0.04272981656130169,5.89
Very Berry - S,41.23,0.0,41.23,0.01901060038085753,7.0,0.008454106280193236,0.020031580225920075,0.04272981656130169,5.89
Pirates Nectar - R,24.87,0.0,24.87,0.011467223659275449,3.0,0.0036231884057971015,0.012083080286651282,0.025774691677894083,8.290000000000001
Hawaiian Sunset - S,11.78,0.0,11.78,0.005431600108816437,2.0,0.0024154589371980675,0.005723308635977165,0.012208519017514768,5.89
Pirates Nectar - S,5.89,0.0,5.89,0.0027158000544082184,1.0,0.0012077294685990338,0.0028616543179885824,0.006104259508757384,5.89
Strawberry Storm - R,105.48,0.0,105.48,0.048635414217144124,12.0,0.014492753623188406,0.051247418923843074,0.33333333333333337,8.790000000000001
Banana's A Whey - R,79.11,0.0,79.11,0.03647656066285809,9.0,0.010869565217391304,0.038435564192882306,0.25,8.79
Nuttin' Better - R,70.32,-8.79,61.53,0.028370658293334072,8.0,0.00966183574879227,0.029894327705575124,0.19444444444444445,7.69125
Ripped Berry - R,70.32,0.0,70.32,0.032423609478096076,8.0,0.00966183574879227,0.03416494594922871,0.2222222222222222,8.79
Brazilian Thunder - R,62.93,0.0,62.93,0.029016179528677282,7.0,0.008454106280193236,0.030574517186930644,0.2500198649185538,8.99
Ocean Mist - R,53.94,0.0,53.94,0.024871011024580527,6.0,0.007246376811594203,0.02620672901736912,0.21430274135876043,8.99
Pomegranate Passion - R,53.94,0.0,53.94,0.024871011024580527,6.0,0.007246376811594203,0.02620672901736912,0.21430274135876043,8.99
Matcha Monsoon - R,44.95,0.0,44.95,0.020725842520483775,5.0,0.006038647342995169,0.021838940847807606,0.17858561779896703,8.99
Pomegranate Passion - S,17.97,0.0,17.97,0.00828572614222677,3.0,0.0036231884057971015,0.008730717842827643,0.07139451728247914,5.989999999999999
Matcha Monsoon - S,11.98,0.0,11.98,0.0055238174281511815,2.0,0.0024154589371980675,0.005820478561885097,0.0475963448549861,5.99
Brazilian Thunder - S,5.99,0.0,5.99,0.0027619087140755907,1.0,0.0012077294685990338,0.0029102392809425485,0.02379817242749305,5.99
High Impact Acai - R,83.61,-27.87,55.74,0.025700966898593226,9.0,0.010869565217391304,0.02708125835054051,0.2608695652173913,6.193333333333333
Pomegranate Punch - R,65.03,0.0,65.03,0.029984461381692095,7.0,0.008454106280193236,0.031594801408963924,0.3043478260869565,9.290000000000001
Mind Over Matcha - R,55.74,0.0,55.74,0.025700966898593226,6.0,0.007246376811594203,0.02708125835054051,0.2608695652173913,9.290000000000001
