Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,116.06,0.0,116.06,0.09411592980635118,14.0,0.029914529914529916,0.09726785115655383,0.26270994612703163,8.290000000000001
Strawberry Sunshine - R,66.32,0.0,66.32,0.05378053131791495,8.0,0.017094017094017096,0.055581629232316465,0.15011996921544662,8.29
Strawberry Sunshine - S,53.01,-5.0,48.01,0.03893249862142788,9.0,0.019230769230769232,0.04023633925578277,0.10867400063379964,5.334444444444444
Very Berry - R,49.74,0.0,49.74,0.04033539848843622,6.0,0.01282051282051282,0.041686221924237356,0.11258997691158498,8.290000000000001
Very Berry - S,41.23,0.0,41.23,0.03343442862240099,7.0,0.014957264957264958,0.034554140127388534,0.0933269953370456,5.89
Tropical Tornado - S,29.45,0.0,29.45,0.02388173473028642,5.0,0.010683760683760684,0.024681528662420384,0.06666213952646115,5.89
Tropical Tornado - R,24.87,0.0,24.87,0.02016769924421811,3.0,0.00641025641025641,0.020843110962118678,0.05629498845579249,8.290000000000001
Hawaiian Sunset - S,17.67,0.0,17.67,0.014329040838171854,3.0,0.00641025641025641,0.014808917197452233,0.03999728371587669,5.890000000000001
Mango Hurricane - S,17.67,0.0,17.67,0.014329040838171854,3.0,0.00641025641025641,0.014808917197452233,0.03999728371587669,5.890000000000001
Hawaiian Sunset - R,16.58,0.0,16.58,0.013445132829478738,2.0,0.004273504273504274,0.013895407308079116,0.037529992303861656,8.29
Pirates Nectar - R,8.29,0.0,8.29,0.006722566414739369,1.0,0.002136752136752137,0.006947703654039558,0.018764996151930828,8.29
Pirates Nectar - S,5.89,0.0,5.89,0.004776346946057284,1.0,0.002136752136752137,0.004936305732484077,0.01333242790529223,5.89
Strawberry Storm - R,96.69,0.0,96.69,0.07840831684452951,11.0,0.023504273504273504,0.08103419376466646,0.3548387096774193,8.79
Nuttin' Better - R,79.11,0.0,79.11,0.06415225923643324,9.0,0.019230769230769232,0.06630070398927256,0.29032258064516125,8.79
Ripped Berry - R,61.53,0.0,61.53,0.04989620162833696,7.0,0.014957264957264958,0.05156721421387865,0.22580645161290322,8.790000000000001
Banana's A Whey - R,35.16,0.0,35.16,0.028512115216192548,4.0,0.008547008547008548,0.029466979550787798,0.12903225806451613,8.79
Funky Monkey - R,41.45,0.0,41.45,0.03361283207369685,5.0,0.010683760683760684,0.0347385182701978,0.2549514085373355,8.290000000000001
Canadian Colada - R,24.87,0.0,24.87,0.02016769924421811,3.0,0.00641025641025641,0.020843110962118678,0.1529708451224013,8.290000000000001
Mangosicle - R,24.87,0.0,24.87,0.02016769924421811,3.0,0.00641025641025641,0.020843110962118678,0.1529708451224013,8.290000000000001
Funky Monkey - S,23.56,0.0,23.56,0.019105387784229134,4.0,0.008547008547008548,0.01974522292993631,0.1449132734653709,5.89
Berry Cream Sensation - R,16.58,0.0,16.58,0.013445132829478738,2.0,0.004273504273504274,0.013895407308079116,0.10198056341493418,8.29
Pineapple Freeze - S,11.78,0.0,11.78,0.009552693892114567,2.0,0.004273504273504274,0.009872611464968154,0.07245663673268544,5.89
Mangosicle - S ,10.58,-5.29,5.29,0.004289792078886763,2.0,0.004273504273504274,0.004433456252095207,0.03253782753106164,2.645
Pineapple Freeze - R,8.29,0.0,8.29,0.006722566414739369,1.0,0.002136752136752137,0.006947703654039558,0.05099028170746709,8.29
Berry Cream Sensation - S,5.89,0.0,5.89,0.004776346946057284,1.0,0.002136752136752137,0.004936305732484077,0.03622831836634272,5.89
Mind Over Matcha - R,46.45,0.0,46.45,0.03766745596678453,5.0,0.010683760683760684,0.03892893060677172,0.35714285714285715,9.290000000000001
Pomegranate Punch - R,37.16,0.0,37.16,0.030133964773427616,4.0,0.008547008547008548,0.031143144485417367,0.2857142857142857,9.29
Acai Avalanche - R,27.87,0.0,27.87,0.022600473580070717,3.0,0.00641025641025641,0.023357358364063028,0.2142857142857143,9.290000000000001
High Impact Acai - R,18.58,0.0,18.58,0.015066982386713808,2.0,0.004273504273504274,0.015571572242708684,0.14285714285714285,9.29
Pomegranate Passion - R,53.94,0.0,53.94,0.043741282558629864,6.0,0.01282051282051282,0.04520616828695944,0.43907203907203907,8.99
Brazilian Thunder - R,26.97,0.0,26.97,0.021870641279314932,3.0,0.00641025641025641,0.02260308414347972,0.21953601953601953,8.99
Ocean Mist - S,17.97,0.0,17.97,0.014572318271757112,3.0,0.00641025641025641,0.015060341937646667,0.14627594627594628,5.989999999999999
Matcha Monsoon - R,8.99,0.0,8.99,0.007290213759771644,1.0,0.002136752136752137,0.007534361381159907,0.07317867317867319,8.99
