Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,190.67,0.0,190.67,0.06272348964587068,24.0,0.02040816326530612,0.06602123953864425,0.20989652135623071,7.944583333333333
Strawberry Sunshine - R,182.38,0.0,182.38,0.05999638140039805,23.0,0.0195578231292517,0.06315075086305103,0.20077058564509023,7.929565217391304
Hawaiian Sunset - R,149.22,-8.29,140.93,0.04636084017303486,18.0,0.015306122448979591,0.04879830748508488,0.15514090708938794,7.829444444444444
Tropical Tornado - R,107.77,-8.29,99.48,0.032725298945671666,13.0,0.011054421768707483,0.034445864107118744,0.1095112285336856,7.6523076923076925
Mango Hurricane - S,76.57,0.0,76.57,0.02518874286560192,14.0,0.011904761904761904,0.026513066090491373,0.08429106120651694,5.469285714285713
Very Berry - R,66.32,0.0,66.32,0.021816865963781105,8.0,0.006802721088435374,0.022963909404745825,0.07300748568912371,8.29
Very Berry - S,47.12,0.0,47.12,0.015500764840370412,8.0,0.006802721088435374,0.016315732978763924,0.0518714222809335,5.89
Tropical Tornado - S,41.23,0.0,41.23,0.01356316923532411,7.0,0.005952380952380952,0.01427626635641843,0.04538749449581681,5.89
Strawberry Sunshine - S,35.34,0.0,35.34,0.011625573630277811,6.0,0.00510204081632653,0.012236799734072943,0.03890356671070013,5.890000000000001
Pirates Nectar - R,16.58,0.0,16.58,0.005454216490945276,2.0,0.0017006802721088435,0.005740977351186456,0.01825187142228093,8.29
Hawaiian Sunset - S,11.78,0.0,11.78,0.003875191210092603,2.0,0.0017006802721088435,0.004078933244690981,0.012967855570233375,5.89
Banana's A Whey - R,228.54,0.0,228.54,0.07518134118459792,26.0,0.022108843537414966,0.07913407502051585,0.3611111111111111,8.79
Nuttin' Better - R,149.43,0.0,149.43,0.0491570307745448,17.0,0.01445578231292517,0.05174151059033729,0.23611111111111113,8.790000000000001
Ripped Berry - R,131.85,0.0,131.85,0.04337385068342188,16.0,0.013605442176870748,0.0456542740502976,0.20833333333333331,8.240625
Strawberry Storm - R,96.69,0.0,96.69,0.031807490501176046,11.0,0.00935374149659864,0.03347980097021824,0.15277777777777776,8.79
Banango Burst - R,26.37,0.0,26.37,0.008674770136684376,3.0,0.002551020408163265,0.009130854810059522,0.04166666666666667,8.790000000000001
Mind Over Matcha - R,195.09,0.0,195.09,0.06417750875865585,21.0,0.017857142857142856,0.06755170515337551,0.42857142857142855,9.290000000000001
High Impact Acai - R,157.93,0.0,157.93,0.051953221376054744,18.0,0.015306122448979591,0.05468471369558969,0.3469387755102041,8.773888888888889
Acai Avalanche - R,65.03,0.0,65.03,0.021392502919551953,7.0,0.005952380952380952,0.022517235051125167,0.14285714285714285,9.290000000000001
Pomegranate Punch - R,37.16,0.0,37.16,0.012224287382601114,4.0,0.003401360544217687,0.012866991457785809,0.08163265306122447,9.29
Funky Monkey - R,74.61,-16.58,58.03,0.01908975771830847,9.0,0.007653061224489796,0.0200934207291526,0.2687569470174138,6.447777777777778
Berry Cream Sensation - R,49.74,0.0,49.74,0.016362649472835833,6.0,0.00510204081632653,0.017222932053559372,0.2303630974434976,8.290000000000001
Pea (Not) Butter 2.0 - R,33.16,0.0,33.16,0.010908432981890552,4.0,0.003401360544217687,0.011481954702372912,0.15357539829566502,8.29
Canadian Colada - R,24.87,0.0,24.87,0.008181324736417916,3.0,0.002551020408163265,0.008611466026779686,0.1151815487217488,8.290000000000001
Berry Cream Sensation - S,11.78,0.0,11.78,0.003875191210092603,2.0,0.0017006802721088435,0.004078933244690981,0.05455724342349017,5.89
